Route Id,Latitude,Longitude,Speed,Timestamp,Id,Direction,Agency Name,Agency Id,Route Short Name,Trip Headsign
379,-34.62131,-58.4354057,1.111111,1568158614,31090,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
321,-34.60048,-58.4074745,1.666666,1568158586,31091,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29B,La Boca
320,-34.58403,-58.4176,3.888888,1568158614,31092,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
378,-34.68942,-58.4729462,2.5,1568158614,31093,1,MAYO S.A.T.A.,46,141A,Villa Albertina
2665,-34.49769,-58.4977951,2.5,1568158614,31098,1,LA PRIMERA DE MARTINEZ S.A,133,314A,Pte.Saaverda (Blanco)
379,-34.5844,-58.417,7.5,1568158614,31101,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
2666,-34.50137,-58.58394,10,1568158616,31106,1,LA PRIMERA DE MARTINEZ S.A,133,314B,Villa Hidalgo (Amarillo)
320,-34.62893,-58.3655853,2.5,1568158616,31107,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
378,-34.6188,-58.4361649,2.5,1568158614,31119,1,MAYO S.A.T.A.,46,141A,Pza. Italia
2691,-34.69389,-58.5736351,1.666666,1568158464,31129,1,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,171,378R2,a  Est. Pilar x Guido
379,-34.61907,-58.4382057,6.111111,1568158614,31138,1,MAYO S.A.T.A.,46,141B,Villa Albertina
6301,-34.60177,-58.4350739,1.666666,1568158616,31144,1,MAYO S.A.T.A.,46,36A,Pza. Italia
379,-34.58797,-58.42044,1.666666,1568158614,31145,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
325,-34.63967,-58.3898544,1.666666,1568158586,31189,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Pza. Italia
326,-34.59338,-58.391674,9.166666,1568158614,31190,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Est. Lanus
379,-34.61807,-58.43659,9.166666,1568158584,31194,1,MAYO S.A.T.A.,46,141B,Villa Albertina
378,-34.58761,-58.41976,9.166666,1568158614,31196,1,MAYO S.A.T.A.,46,141A,Pza. Italia
325,-34.61794,-58.3932648,0.555555,1568158614,31197,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
378,-34.65742,-58.47835,0.555555,1568158614,31199,1,MAYO S.A.T.A.,46,141A,Villa Albertina
6301,-34.69802,-58.48216,8.055555,1568158436,31204,1,MAYO S.A.T.A.,46,36A,Villa Celina
6301,-34.70364,-58.46398,15.5555553,1568157954,31207,1,MAYO S.A.T.A.,46,36A,Pza. Italia
6302,-34.6879,-58.4758,4.722222,1568158524,31213,1,MAYO S.A.T.A.,46,36B,Pte. La Noria
379,-34.66349,-58.489,1.666666,1568158614,31219,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
325,-34.70414,-58.3917351,6.944444,1568158614,31220,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Pza. Italia
325,-34.64391,-58.3896255,6.944444,1568158614,31236,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
379,-34.62341,-58.4483452,5,1568158616,31237,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
325,-34.59348,-58.39186,1.388888,1568158616,31238,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
325,-34.61406,-58.3932457,7.777777,1568158614,31241,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
325,-34.61448,-58.39162,10,1568158614,31251,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Pza. Italia
379,-34.65755,-58.4784,1.111111,1568158614,31252,1,MAYO S.A.T.A.,46,141B,Villa Albertina
325,-34.64057,-58.3897858,4.722222,1568158614,31259,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Pza. Italia
327,-34.67849,-58.38942,10.5555553,1568158614,31262,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37C,a Est. Lanus
378,-34.62789,-58.45978,10.5555553,1568158614,31265,1,MAYO S.A.T.A.,46,141A,Villa Albertina
326,-34.60638,-58.3906,10.5555553,1568158614,31267,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Est. Lanus
379,-34.58616,-58.41756,10.5555553,1568158614,31269,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
379,-34.70867,-58.4548,10.5555553,1568158614,31272,1,MAYO S.A.T.A.,46,141B,Villa Albertina
379,-34.65162,-58.47186,10.2777767,1568158614,31273,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
378,-34.68675,-58.47644,10.2777767,1568158616,31274,1,MAYO S.A.T.A.,46,141A,Villa Albertina
326,-34.55687,-58.41247,10.833333,1568158586,31275,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Est. Lanus
379,-34.6847,-58.4637,10.833333,1568158614,31276,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
325,-34.68351,-58.38596,9.166666,1568158616,31278,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
379,-34.70886,-58.45546,9.166666,1568156964,31282,1,MAYO S.A.T.A.,46,141B,Villa Albertina
379,-34.71088,-58.4540939,6.111111,1568158526,31284,1,MAYO S.A.T.A.,46,141B,Villa Albertina
326,-34.55662,-58.41272,11.666666,1568158614,31286,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Cdad. Universitaria x Av. F. Alcorta
378,-34.64457,-58.4644051,11.666666,1568158614,31287,1,MAYO S.A.T.A.,46,141A,Villa Albertina
378,-34.68883,-58.470314,11.666666,1568158614,31305,1,MAYO S.A.T.A.,46,141A,Villa Albertina
378,-34.58878,-58.421875,0.555555,1568158556,31314,1,MAYO S.A.T.A.,46,141A,Villa Albertina
667,-34.5491,-58.6787,0.555555,1568158614,31337,1,SARGENTO CABRAL S.A.DE TRANSPORTE,77,182B,2 - José C. Paz x Guillermo Marconi
379,-34.67789,-58.4702454,0.555555,1568158614,31338,1,MAYO S.A.T.A.,46,141B,Villa Albertina
327,-34.71786,-58.3929138,0.555555,1568158614,31363,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37C,a Est. Lanus
4173,-34.86751,-58.3894539,0.555555,1568158614,31387,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4174,-34.91838,-58.38183,3.888888,1568157386,31395,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4168,-34.82244,-58.3682747,13.8888884,1568158614,31398,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - San Francisco Solano
326,-34.61628,-58.3916054,13.8888884,1568158614,31401,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Cdad. Universitaria x Av. F. Alcorta
325,-34.6926,-58.38958,1.111111,1568158614,31405,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Pza. Italia
326,-34.67125,-58.39543,3.611111,1568158614,31409,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Est. Lanus
326,-34.6135,-58.39322,2.5,1568158614,31415,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Est. Lanus
4168,-34.79744,-58.3568459,2.5,1568158614,31419,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - Est. Adrogue
320,-34.59407,-58.41049,2.5,1568158614,31421,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a Olivos
325,-34.67022,-58.3904648,2.5,1568158614,31422,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
326,-34.68011,-58.3875,5,1568158614,31424,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Cdad. Universitaria x Av. F. Alcorta
325,-34.67153,-58.39172,2.222222,1568158614,31430,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Pza. Italia
326,-34.65553,-58.38868,14.4444437,1568158614,31432,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Est. Lanus
4168,-34.79366,-58.327755,2.5,1568158616,31433,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - Est. Adrogue
4169,-34.81012,-58.3746262,6.388888,1568158614,31434,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R5,Ramal 5 - Est. Burzacox Leroux
320,-34.64134,-58.36412,12.2222223,1568158584,31437,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a Olivos
320,-34.60293,-58.3835945,12.2222223,1568158614,31440,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a Olivos
320,-34.64055,-58.36374,12.2222223,1568158616,31442,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a Olivos
326,-34.57503,-58.41857,12.2222223,1568158614,31446,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37B,a Cdad. Universitaria x Av. F. Alcorta
379,-34.69211,-58.46356,3.888888,1568158614,31448,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
325,-34.6367,-58.3902054,10,1568158616,31451,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37A,a Est. Lanus
327,-34.64736,-58.3893547,10,1568158614,31453,1,4 DE SEPTIEMBRE S.A.T.C.P.,51,37C,a Est. Lanus
4168,-34.78479,-58.3238144,10,1568158584,31456,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,505R4,Ramal 4 - San Francisco Solano
